Keynote,File,Edit,Insert,Slide,Format,Arrange,View,Play,Share,Window,Help,*View,*Zoom,*Add Slide,*Play,*Table,*Chart,*Text,*Shape,*Media ,*Comment,*Share,*Tips,*Format,*Animate ,*Document
,,,> Line,,>> 1,,,,,,,,,,,,,,,,,,,,,
,,,> Line with Arrowhead,,>> 2,,,,,,,,,,,,,,,,,,,,,
,,,> Line with Two Arrowheads,,>> 3,,,,,,,,,,,,,,,,,,,,,
,,,> Straight Connection Line,,>> 4,,,,,,,,,,,,,,,,,,,,,
,,,> Curved Connection Line,,>> 5,,,,,,,,,,,,,,,,,,,,,
,,,> Angled Connection Line,,> Header Columns,,,,,,,,,,,,,,,,,,,,,
,,,> Draw with Pen,,>> 0,,,,,,,,,,,,,,,,,,,,,
,,,Highlight,,>> 1,,,,,,,,,,,,,,,,,,,,,
,,,Comment,,>> 2,,,,,,,,,,,,,,,,,,,,,
,,,Formula,,>> 3,,,,,,,,,,,,,,,,,,,,,
,,,> Sum,,>> 4,,,,,,,,,,,,,,,,,,,,,
,,,> Average,,>> 5,,,,,,,,,,,,,,,,,,,,,
,,,> Minimum,,> Footer Rows,,,,,,,,,,,,,,,,,,,,,
,,,> Maximum,,>> 0,,,,,,,,,,,,,,,,,,,,,
,,,> Count,,>> 1,,,,,,,,,,,,,,,,,,,,,
,,,> Product,,>> 2,,,,,,,,,,,,,,,,,,,,,
,,,> Edit Formula,,>> 3,,,,,,,,,,,,,,,,,,,,,
,,,MathType Equation,,>> 4,,,,,,,,,,,,,,,,,,,,,
,,,Choose...,,>> 5,,,,,,,,,,,,,,,,,,,,,
,,,,,> Resize Row to Fit Content,,,,,,,,,,,,,,,,,,,,,
,,,,,> Resize Column to Fit Content,,,,,,,,,,,,,,,,,,,,,
,,,,,> Distribute Rows Evenly,,,,,,,,,,,,,,,,,,,,,
,,,,,> Distribute Columns Evenly,,,,,,,,,,,,,,,,,,,,,
,,,,,> Autofill Cells,,,,,,,,,,,,,,,,,,,,,
,,,,,>> Autofill Right,,,,,,,,,,,,,,,,,,,,,
,,,,,>> Autofill Left,,,,,,,,,,,,,,,,,,,,,
,,,,,>> Autofill Down,,,,,,,,,,,,,,,,,,,,,
,,,,,>> Autofill Up,,,,,,,,,,,,,,,,,,,,,
,,,,,> Merge Cells,,,,,,,,,,,,,,,,,,,,,
,,,,,> Unmerge Cells,,,,,,,,,,,,,,,,,,,,,
,,,,,Chart,,,,,,,,,,,,,,,,,,,,,
,,,,,> Chart Type,,,,,,,,,,,,,,,,,,,,,
,,,,,>> 2D Column,,,,,,,,,,,,,,,,,,,,,
,,,,,>> 2D Stacked Column,,,,,,,,,,,,,,,,,,,,,
,,,,,>> 2D Bar,,,,,,,,,,,,,,,,,,,,,
,,,,,>> 2D Stacked Bar,,,,,,,,,,,,,,,,,,,,,
,,,,,>> 2D Line,,,,,,,,,,,,,,,,,,,,,
,,,,,>> 2D Area,,,,,,,,,,,,,,,,,,,,,
,,,,,>> 2D Stacked Area,,,,,,,,,,,,,,,,,,,,,
,,,,,>> 2D Pie,,,,,,,,,,,,,,,,,,,,,
,,,,,>> 2D Scatter,,,,,,,,,,,,,,,,,,,,,
,,,,,>> 2D Bubble,,,,,,,,,,,,,,,,,,,,,
,,,,,>> 2D Mixed,,,,,,,,,,,,,,,,,,,,,
,,,,,>> 2D 2>Axis,,,,,,,,,,,,,,,,,,,,,
,,,,,>> 3D Column,,,,,,,,,,,,,,,,,,,,,
,,,,,>> 3D Stacked Column,,,,,,,,,,,,,,,,,,,,,
,,,,,>> 3D Bar,,,,,,,,,,,,,,,,,,,,,
,,,,,>> 3D Stacked Bar,,,,,,,,,,,,,,,,,,,,,
,,,,,>> 3D Line,,,,,,,,,,,,,,,,,,,,,
,,,,,>> 3D Area,,,,,,,,,,,,,,,,,,,,,
,,,,,>> 3D Stacked Area,,,,,,,,,,,,,,,,,,,,,
,,,,,>> 3D Pie,,,,,,,,,,,,,,,,,,,,,
,,,,,>> Interactive Column,,,,,,,,,,,,,,,,,,,,,
,,,,,>> Interactive Bar,,,,,,,,,,,,,,,,,,,,,
,,,,,>> Interactive Scatter,,,,,,,,,,,,,,,,,,,,,
,,,,,>> Interactive Bubble,,,,,,,,,,,,,,,,,,,,,
,,,,,> Show Chart Data Editor,,,,,,,,,,,,,,,,,,,,,
,,,,,> Show Title,,,,,,,,,,,,,,,,,,,,,
,,,,,> Show Legend,,,,,,,,,,,,,,,,,,,,,
,,,,,> Show Borders,,,,,,,,,,,,,,,,,,,,,
,,,,,> Show Y Axis Title,,,,,,,,,,,,,,,,,,,,,
,,,,,> Show Y Axis Labels,,,,,,,,,,,,,,,,,,,,,
,,,,,> Show Y Axis 2 Title,,,,,,,,,,,,,,,,,,,,,
,,,,,> Show Y Axis 2 Labels,,,,,,,,,,,,,,,,,,,,,
,,,,,> Show X Axis Title,,,,,,,,,,,,,,,,,,,,,
,,,,,> Show X Axis Labels,,,,,,,,,,,,,,,,,,,,,
,,,,,> Show Series Names,,,,,,,,,,,,,,,,,,,,,
,,,,,> Show Series Value Labels,,,,,,,,,,,,,,,,,,,,,
,,,,,Shapes and Lines,,,,,,,,,,,,,,,,,,,,,
,,,,,> Make Editable,,,,,,,,,,,,,,,,,,,,,
,,,,,> Make Motion Path from Shape,,,,,,,,,,,,,,,,,,,,,
,,,,,> Reset Text and Object Handles,,,,,,,,,,,,,,,,,,,,,
,,,,,> Unite Shapes,,,,,,,,,,,,,,,,,,,,,
,,,,,> Intersect Shapes,,,,,,,,,,,,,,,,,,,,,
,,,,,> Subtract Shapes,,,,,,,,,,,,,,,,,,,,,
,,,,,> Exclude Shapes,,,,,,,,,,,,,,,,,,,,,
,,,,,> Make Sharp Point,,,,,,,,,,,,,,,,,,,,,
,,,,,> Make Smooth Point,,,,,,,,,,,,,,,,,,,,,
,,,,,> Make Bezier Point,,,,,,,,,,,,,,,,,,,,,
,,,,,> Toggle Line Type,,,,,,,,,,,,,,,,,,,,,
,,,,,Image,,,,,,,,,,,,,,,,,,,,,
,,,,,> Edit Mask,,,,,,,,,,,,,,,,,,,,,
,,,,,> Reset Mask,,,,,,,,,,,,,,,,,,,,,
,,,,,> Mask with Shape,,,,,,,,,,,,,,,,,,,,,
,,,,,>> Rectangle,,,,,,,,,,,,,,,,,,,,,
,,,,,>> Rounded Rectangle,,,,,,,,,,,,,,,,,,,,,
,,,,,>> Oval,,,,,,,,,,,,,,,,,,,,,
,,,,,>> Triangle,,,,,,,,,,,,,,,,,,,,,
,,,,,>> Right Triangle,,,,,,,,,,,,,,,,,,,,,
,,,,,>> Arrow,,,,,,,,,,,,,,,,,,,,,
,,,,,>> Double Arrow,,,,,,,,,,,,,,,,,,,,,
,,,,,>> Diamond,,,,,,,,,,,,,,,,,,,,,
,,,,,>> Quote Bubble,,,,,,,,,,,,,,,,,,,,,
,,,,,>> Callout,,,,,,,,,,,,,,,,,,,,,
,,,,,>> Star,,,,,,,,,,,,,,,,,,,,,
,,,,,>> Polygon,,,,,,,,,,,,,,,,,,,,,
,,,,,> Instant Alpha,,,,,,,,,,,,,,,,,,,,,
,,,,,> Remove Instant Alpha,,,,,,,,,,,,,,,,,,,,,
,,,,,Movie,,,,,,,,,,,,,,,,,,,,,
,,,,,> Optimize Movie for iOS,,,,,,,,,,,,,,,,,,,,,
,,,,,Copy Style,,,,,,,,,,,,,,,,,,,,,
,,,,,Paste Style,,,,,,,,,,,,,,,,,,,,,
,,,,,Copy Animation,,,,,,,,,,,,,,,,,,,,,
,,,,,Paste Animation,,,,,,,,,,,,,,,,,,,,,
,,,,,Conditional Highlighting,,,,,,,,,,,,,,,,,,,,,
,,,,,Add Link,,,,,,,,,,,,,,,,,,,,,
,,,,,Remove Link,,,,,,,,,,,,,,,,,,,,,
,,,,,Phonetic Guide Text...,,,,,,,,,,,,,,,,,,,,,
,,,,,Remove Phonetic Guide Text,,,,,,,,,,,,,,,,,,,,,
,,,,,Reapply Master to Slide,,,,,,,,,,,,,,,,,,,,,
,,,,,Advanced,,,,,,,,,,,,,,,,,,,,,
,,,,,> Create Shape Style,,,,,,,,,,,,,,,,,,,,,
,,,,,> Define as Text Place Holder,,,,,,,,,,,,,,,,,,,,,
,,,,,> Define as Media Place Holder,,,,,,,,,,,,,,,,,,,,,
,,,,,> Set as Default Text Box Appearance,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
