,,Vacation repsponder,Toggle,,,
,,,First Day,Date,,
,,,Last Day,Date,,
,,,Subject,Text Field,,
,,,Message,Text Field,,
,,,Only Contacts,Checkbox,,
,Labels,Tab,,,,
,,System Labels,List,8,,
,,,Show,Toggle,,
,,,Show in IMAP,Checkbox,,
,,Categories,List,5,,
,,,Show,Toggle,,
,,User Lables,List,N,,
,,,Show,Toggle,,
,,,Show in Messages,Toggle,,
,,,Remove,Button,,
,,,Edit,Button,,
,,,Show in IMAP,Checkbox,,
,Inbox,Tab,,,,
,,Inbox Type,Dropdown,,,
,,,Default,Button,,
,,,Important First,Button,,
,,,Unread First,Button,,
,,,Starred First,Button,,
,,,Priority Inbox,Button,,
,,Categories,Section,,,
,,,Current Categories,List,5,
,,,,Enable,Checkbox,
,,,Starred Mesages,Checkbox,,
,,Importance Marker,Toggle,,,
,,,Use Past History,Toggle,,
,,Filtered Mail,Toggle,,,
,Accounts and Import,Tab,,,,
,,Account Settings,Section,3,,
,,,Change Password,Link,,
,,,Change Password Recovery,Link,,
,,,Other Google Account Settings,Link,,
,,Import Mail and Contacts,Out of Scope,,,
,,Send Mail As,Option,,,
,,Check Mail From Other,Out of Scope,,,
,,Using Gmail for Work,Out of Scope,,,
,,Grant Access,Link,,,
,,,Mark Read ,Toggle,,
,,Add Additional Storage,Out of Scope,,,
,Filters and Blocked Addresses,Tab,,,,
,,Filter Messages,PopUp,,,
,,Import Filter,Out of Scope,,,
,,Blocked Addresses,List ,N,,
,,Unblock Selected Addresses,Button,,,
,Forwarding and POP/IMAP,Tab,,,,
,,Add a Forwarding Address,PopUp,,,
,,POP Download,Section,,,
,,,Status,Radio Button,,
,,,,Enable for All,State,
,,,,Enable for After Today,State,
,,,,Disable,State,
,,,When Accessing POP,Dropdown,,
,,,,Keep Gmail's,State,
,,,,Mark Gmail's as Read,State,
,,,,Archive Gmail's,State,
,,,,Delete Gmail's,State,
,,,Configure Email Client,Out of Scope,,
,IMAP Access,Section,,,,
,,Enabled,Toggle,,,
,,Auto-Expunge,Toggle,,,
,,When Deleted from IMAP,Radio Button,,,
,,,Archive,State,,
,,,Move to Trash,State,,
,,,Delete Message,State,,
,,Folder Size Limits,Toggle,,,
,,,Message Limit,Number,,
,,Configure Email Client,Out of Scope,,,
,Add-ons,Tab,,,,
,,Get Add-ons,Out of Scope,,,
,,Enable Developer Add-ons,Checkbox,,,
,Chat,Tab,,,,
,,Enable,Toggle,,,
,Labs,Tab,,,,
,,Search Labs,Text Field,,,
,,Availible Labs,List,N,,
,,Save Changes,Button,,,
,,Cancel,Button,,,
,Offline,Tab,,,,
,,Get Offline,LInk,,,
,Themes,Tab,,,,
,,Themes,PopUp,,,
Forward Address,PopUp,,,,,
,Forward Email Address,Text Field,,,,
,Next,Button,,,,
,Cancel,Button,,,,
Themes,PopUp,,,,,
,Themes,List,N,,,
,Save,Button,,,,
,Cancel,Button,,,,
,My Photos,Out of Scope,,,,
Send Feedback,PopUp,,,,,
,Feedback Text,Text Field,,,,
,Include Screenshot,Checkbox,,,,
,Cancel,Button,,,,
,Send,Button,,,,
